Sample in Buffer,Sample in Window,TRIGGER,data/adc_F_data_package/state23[3:0],data/adc_F_data_package/next_state23[3:0],data/adc_F_data_package/adc_data[11:0],data/adc_F_data_package/fifo1[11:0],data/adc_F_data_package/data_fifo2_out[11:0],data/adc_F_data_package/data_fifo3_in[3:0],data/adc_F_data_package/rd_fifo2,data/adc_F_data_package/data_cnt_fifo2[7:0],data/adc_F_data_package/data_cnt_fifo2_use[7:0],data/adc_F_data_package/cnt23[11:0],data/adc_F_data_package/rd_fifo1_1,data/adc_F_data_package/rd_fifo1,data/adc_F_data_package/clk_125m,data/adc_F_data_package/full,data/adc_F_data_package/empty,data/adc_F_data_package/wr_rst_busy,data/adc_F_data_package/rd_rst_busy,data/adc_F_data_package/wr_fifo3,data/adc_F_data_package/fifo23_end,data/adc_F_data_package/rd_fifo3,data/adc_F_data_package/data_cnt_fifo3[9:0],data/adc_F_data_package/data_fifo3_out[3:0],data/adc_F_data_package/full3,data/adc_F_data_package/empty3
58,58,0,0,0,2011,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
59,59,0,0,0,2010,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
60,60,0,0,0,2009,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
61,61,0,0,0,2010,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
62,62,0,0,0,2014,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
63,63,0,0,0,2009,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
64,64,0,0,0,2012,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
65,65,0,0,0,2013,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
66,66,0,0,0,2011,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
67,67,0,0,0,2013,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
68,68,0,0,0,2012,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
69,69,0,0,0,2012,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
70,70,0,0,0,2013,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
71,71,0,0,0,2012,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
72,72,0,0,0,2013,7db,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
73,73,0,0,0,2012,7db,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
74,74,0,0,0,2013,7da,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
75,75,0,0,0,2014,7d9,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
76,76,0,0,0,2014,7da,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
77,77,0,0,0,2013,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
78,78,0,0,0,2013,7d9,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
79,79,0,0,0,2014,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
80,80,0,0,0,2013,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
81,81,0,0,0,2013,7db,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
82,82,0,0,0,2014,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
83,83,0,0,0,2015,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
84,84,0,0,0,2014,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
85,85,0,0,0,2014,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
86,86,0,0,0,2015,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
87,87,0,0,0,2015,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
88,88,0,0,0,2015,7dc,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
89,89,0,0,0,2015,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
90,90,0,0,0,2015,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
91,91,0,0,0,2015,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
92,92,0,0,0,2016,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
93,93,0,0,0,2016,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
94,94,0,0,0,2015,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
95,95,0,0,0,2015,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
96,96,0,0,0,2014,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
97,97,0,0,0,2012,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
98,98,0,0,0,2013,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
99,99,0,0,0,2013,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
100,100,0,0,0,2012,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
101,101,0,0,0,2011,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
102,102,0,0,0,2012,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
103,103,0,0,0,2014,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
104,104,0,0,0,2012,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
105,105,0,0,0,2015,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
106,106,0,0,0,2013,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
107,107,0,0,0,2015,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
108,108,0,0,0,2016,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
109,109,0,0,0,2014,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
110,110,0,0,0,2015,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
